Cluster,Agency,Year,PT/FT,Gender,Headcount
Justice,Justice Agency 3,2014,Full-Time,Male," 6,472 "
Justice,Justice Agency 4,2014,Full-Time,Male," 3,823 "
Justice,Justice Agency 5,2014,Full-Time,Male, 7 
Justice,Justice Agency 6,2014,Full-Time,Male, 275 
Justice,Justice Agency 7,2014,Full-Time,Male, 117 
Justice,Justice Agency 8,2014,Full-Time,Male, 62 
Justice,Justice Agency 9,2014,Full-Time,Male," 14,550 "
Planning & Environment,Planning & Environment Agency 1,2014,Full-Time,Male, 70 
Planning & Environment,Planning & Environment Agency 2,2014,Full-Time,Male, 416 
Planning & Environment,Planning & Environment Agency 3,2014,Full-Time,Male, 239 
Planning & Environment,Planning & Environment Agency 4,2014,Full-Time,Male, 99 
Planning & Environment,Planning & Environment Agency 5,2014,Full-Time,Male," 2,318 "
Planning & Environment,Planning & Environment Agency 6,2014,Full-Time,Male, 60 
Planning & Environment,Planning & Environment Agency 7,2014,Full-Time,Male, 228 
Planning & Environment,Planning & Environment Agency 8,2014,Full-Time,Male," 1,977 "
Premier & Cabinet,Premier & Cabinet Agency 1,2014,Full-Time,Male, 17 
Premier & Cabinet,Premier & Cabinet Agency 10,2014,Full-Time,Male, 21 
Premier & Cabinet,Premier & Cabinet Agency 11,2014,Full-Time,Male, 40 
Premier & Cabinet,Premier & Cabinet Agency 2,2014,Full-Time,Male, 185 
Premier & Cabinet,Premier & Cabinet Agency 3,2014,Full-Time,Male, 37 
Premier & Cabinet,Premier & Cabinet Agency 4,2014,Full-Time,Male, 54 
Premier & Cabinet,Premier & Cabinet Agency 5,2014,Full-Time,Male, 23 
Premier & Cabinet,Premier & Cabinet Agency 6,2014,Full-Time,Male, 6 
Premier & Cabinet,Premier & Cabinet Agency 7,2014,Full-Time,Male, 30 
Premier & Cabinet,Premier & Cabinet Agency 8,2014,Full-Time,Male, 325 
Premier & Cabinet,Premier & Cabinet Agency 9,2014,Full-Time,Male, 63 
Transport,Transport Agency 1,2014,Full-Time,Male," 1,593 "
Transport,Transport Agency 2,2014,Full-Time,Male, 260 
Transport,Transport Agency 3,2014,Full-Time,Male," 4,586 "
Transport,Transport Agency 4,2014,Full-Time,Male," 4,447 "
Transport,Transport Agency 5,2014,Full-Time,Male," 8,920 "
Transport,Transport Agency 6,2014,Full-Time,Male," 1,823 "
Treasury,Treasury Agency 1,2014,Full-Time,Male, 175 
Treasury,Treasury Agency 2,2014,Full-Time,Male, 272 
Treasury,Treasury Agency 3,2014,Full-Time,Male, 249 
Education,Education Agency 1,2014,Part-Time,Female, 48 
Education,Education Agency 2,2014,Part-Time,Female, 764 
Education,Education Agency 3,2014,Part-Time,Female," 18,410 "
Education,Education Agency 4,2014,Part-Time,Female," 16,327 "
Family & Community Services,Family & Community Services Agency 1,2014,Part-Time,Female," 5,794 "
Family & Community Services,Family & Community Services Agency 2,2014,Part-Time,Female, 7 
Family & Community Services,Family & Community Services Agency 3,2014,Part-Time,Female, 18 
"Finance, Services & Innovation","Finance, Services & Innovation Agency 1",2014,Part-Time,Female, 483 
"Finance, Services & Innovation","Finance, Services & Innovation Agency 2",2014,Part-Time,Female, 156 
Health,Health Agency 1,2014,Part-Time,Female, 19 
Health,Health Agency 10,2014,Part-Time,Female, 13 
Health,Health Agency 11,2014,Part-Time,Female, 19 
Health,Health Agency 12,2014,Part-Time,Female, 6 
Health,Health Agency 13,2014,Part-Time,Female," 1,206 "
Health,Health Agency 14,2014,Part-Time,Female, 10 
Health,Health Agency 15,2014,Part-Time,Female, 6 
Health,Health Agency 16,2014,Part-Time,Female," 1,718 "
Health,Health Agency 17,2014,Part-Time,Female," 5,526 "
Health,Health Agency 18,2014,Part-Time,Female," 2,123 "
Health,Health Agency 19,2014,Part-Time,Female, 305 
Health,Health Agency 2,2014,Part-Time,Female, 311 
Health,Health Agency 20,2014,Part-Time,Female, 5 
Health,Health Agency 21,2014,Part-Time,Female," 1,370 "
Health,Health Agency 22,2014,Part-Time,Female, 66 
Health,Health Agency 23,2014,Part-Time,Female," 1,419 "
Health,Health Agency 24,2014,Part-Time,Female," 1,307 "
Health,Health Agency 25,2014,Part-Time,Female," 2,076 "
Health,Health Agency 26,2014,Part-Time,Female," 2,808 "
Health,Health Agency 27,2014,Part-Time,Female," 2,915 "
Health,Health Agency 28,2014,Part-Time,Female," 2,403 "
Health,Health Agency 29,2014,Part-Time,Female," 1,037 "
Health,Health Agency 3,2014,Part-Time,Female, 161 
Health,Health Agency 30,2014,Part-Time,Female," 1,561 "
Health,Health Agency 31,2014,Part-Time,Female," 1,974 "
Health,Health Agency 32,2014,Part-Time,Female," 1,703 "
Health,Health Agency 33,2014,Part-Time,Female," 2,264 "
Health,Health Agency 4,2014,Part-Time,Female, 6 
Health,Health Agency 5,2014,Part-Time,Female, 46 
Health,Health Agency 6,2014,Part-Time,Female," 1,987 "
Health,Health Agency 7,2014,Part-Time,Female, 11 
Health,Health Agency 8,2014,Part-Time,Female, 9 
Health,Health Agency 9,2014,Part-Time,Female, 169 
Industry,Industry Agency 1,2014,Part-Time,Female, 461 
Industry,Industry Agency 2,2014,Part-Time,Female, 17 
Industry,Industry Agency 3,2014,Part-Time,Female, 55 
Industry,Industry Agency 4,2014,Part-Time,Female, 8 
Industry,Industry Agency 5,2014,Part-Time,Female, 142 
Industry,Industry Agency 6,2014,Part-Time,Female, 13 
Industry,Industry Agency 7,2014,Part-Time,Female," 2,055 "
Industry,Industry Agency 8,2014,Part-Time,Female, 37 
Justice,Justice Agency 1,2014,Part-Time,Female, 54 
Justice,Justice Agency 10,2014,Part-Time,Female, 92 
Justice,Justice Agency 11,2014,Part-Time,Female, 60 
Justice,Justice Agency 12,2014,Part-Time,Female, 18 
Justice,Justice Agency 13,2014,Part-Time,Female, 15 
Justice,Justice Agency 14,2014,Part-Time,Female, 28 
Justice,Justice Agency 2,2014,Part-Time,Female, 64 
Justice,Justice Agency 3,2014,Part-Time,Female," 1,142 "
Justice,Justice Agency 4,2014,Part-Time,Female, 44 
Justice,Justice Agency 5,2014,Part-Time,Female, 6 
Justice,Justice Agency 6,2014,Part-Time,Female, 240 
Justice,Justice Agency 7,2014,Part-Time,Female, 51 
Justice,Justice Agency 8,2014,Part-Time,Female, 27 
Justice,Justice Agency 9,2014,Part-Time,Female," 1,688 "
Planning & Environment,Planning & Environment Agency 1,2014,Part-Time,Female, 52 
Planning & Environment,Planning & Environment Agency 2,2014,Part-Time,Female, 98 
Planning & Environment,Planning & Environment Agency 3,2014,Part-Time,Female, 80 
Planning & Environment,Planning & Environment Agency 4,2014,Part-Time,Female, 10 
Planning & Environment,Planning & Environment Agency 5,2014,Part-Time,Female, 559 
Planning & Environment,Planning & Environment Agency 6,2014,Part-Time,Female, 13 
Planning & Environment,Planning & Environment Agency 7,2014,Part-Time,Female, 80 
Planning & Environment,Planning & Environment Agency 8,2014,Part-Time,Female, 140 
Premier & Cabinet,Premier & Cabinet Agency 1,2014,Part-Time,Female, 6 
Premier & Cabinet,Premier & Cabinet Agency 10,2014,Part-Time,Female, 9 
Premier & Cabinet,Premier & Cabinet Agency 11,2014,Part-Time,Female, 9 
Premier & Cabinet,Premier & Cabinet Agency 2,2014,Part-Time,Female, 64 
Premier & Cabinet,Premier & Cabinet Agency 3,2014,Part-Time,Female, 15 
Premier & Cabinet,Premier & Cabinet Agency 4,2014,Part-Time,Female, 30 
Premier & Cabinet,Premier & Cabinet Agency 5,2014,Part-Time,Female, 10 
Premier & Cabinet,Premier & Cabinet Agency 6,2014,Part-Time,Female, 6 
Premier & Cabinet,Premier & Cabinet Agency 7,2014,Part-Time,Female, 6 
Premier & Cabinet,Premier & Cabinet Agency 8,2014,Part-Time,Female, 26 
Premier & Cabinet,Premier & Cabinet Agency 9,2014,Part-Time,Female, 38 
Transport,Transport Agency 1,2014,Part-Time,Female, 101 
Transport,Transport Agency 2,2014,Part-Time,Female, 17 
Transport,Transport Agency 3,2014,Part-Time,Female," 1,253 "
Transport,Transport Agency 4,2014,Part-Time,Female, 80 
Transport,Transport Agency 5,2014,Part-Time,Female, 160 
Transport,Transport Agency 6,2014,Part-Time,Female, 143 
Treasury,Treasury Agency 1,2014,Part-Time,Female, 49 
Treasury,Treasury Agency 2,2014,Part-Time,Female, 5 
Treasury,Treasury Agency 3,2014,Part-Time,Female, 41 
Education,Education Agency 1,2014,Part-Time,Male, 8 
Education,Education Agency 2,2014,Part-Time,Male," 1,691 "
Education,Education Agency 3,2014,Part-Time,Male," 1,163 "
Education,Education Agency 4,2014,Part-Time,Male," 2,021 "
Family & Community Services,Family & Community Services Agency 1,2014,Part-Time,Male," 1,034 "
Family & Community Services,Family & Community Services Agency 2,2014,Part-Time,Male, 6 
Family & Community Services,Family & Community Services Agency 3,2014,Part-Time,Male, 5 
"Finance, Services & Innovation","Finance, Services & Innovation Agency 1",2014,Part-Time,Male, 73 
"Finance, Services & Innovation","Finance, Services & Innovation Agency 2",2014,Part-Time,Male, 28 
Health,Health Agency 1,2014,Part-Time,Male, 6 
Health,Health Agency 10,2014,Part-Time,Male, 6 
Health,Health Agency 11,2014,Part-Time,Male, 9 
Health,Health Agency 12,2014,Part-Time,Male, 5 
Health,Health Agency 13,2014,Part-Time,Male, 192 
Health,Health Agency 14,2014,Part-Time,Male, 5 
Health,Health Agency 15,2014,Part-Time,Male, 6 
Health,Health Agency 16,2014,Part-Time,Male, 317 
Health,Health Agency 17,2014,Part-Time,Male, 544 
Health,Health Agency 18,2014,Part-Time,Male, 220 
Health,Health Agency 19,2014,Part-Time,Male, 81 
Health,Health Agency 2,2014,Part-Time,Male, 31 
Health,Health Agency 20,2014,Part-Time,Male, 5 
Health,Health Agency 21,2014,Part-Time,Male, 253 
Health,Health Agency 22,2014,Part-Time,Male, 7 
Health,Health Agency 23,2014,Part-Time,Male, 69 
Health,Health Agency 24,2014,Part-Time,Male, 179 
Health,Health Agency 25,2014,Part-Time,Male, 357 
Health,Health Agency 26,2014,Part-Time,Male, 501 
Health,Health Agency 27,2014,Part-Time,Male, 482 
Health,Health Agency 28,2014,Part-Time,Male, 409 
Health,Health Agency 29,2014,Part-Time,Male, 102 
Health,Health Agency 3,2014,Part-Time,Male, 99 
Health,Health Agency 30,2014,Part-Time,Male, 225 
Health,Health Agency 31,2014,Part-Time,Male, 391 
Health,Health Agency 32,2014,Part-Time,Male, 142 
Health,Health Agency 33,2014,Part-Time,Male, 377 
Health,Health Agency 4,2014,Part-Time,Male, 6 
Health,Health Agency 5,2014,Part-Time,Male, 6 
Health,Health Agency 6,2014,Part-Time,Male, 263 
Health,Health Agency 7,2014,Part-Time,Male, 6 
Health,Health Agency 8,2014,Part-Time,Male, 7 
Health,Health Agency 9,2014,Part-Time,Male, 10 
Industry,Industry Agency 1,2014,Part-Time,Male, 74 
Industry,Industry Agency 2,2014,Part-Time,Male, 7 
Industry,Industry Agency 3,2014,Part-Time,Male, 9 
Industry,Industry Agency 4,2014,Part-Time,Male, 6 
Industry,Industry Agency 5,2014,Part-Time,Male, 25 
Industry,Industry Agency 6,2014,Part-Time,Male, 6 
Industry,Industry Agency 7,2014,Part-Time,Male, 521 
Industry,Industry Agency 8,2014,Part-Time,Male, 6 
Justice,Justice Agency 1,2014,Part-Time,Male, 13 
Justice,Justice Agency 10,2014,Part-Time,Male, 7 
Justice,Justice Agency 11,2014,Part-Time,Male, 7 
Justice,Justice Agency 12,2014,Part-Time,Male, 6 
Justice,Justice Agency 13,2014,Part-Time,Male, 6 
Justice,Justice Agency 14,2014,Part-Time,Male, 6 
Justice,Justice Agency 2,2014,Part-Time,Male, 6 
Justice,Justice Agency 3,2014,Part-Time,Male, 202 
Justice,Justice Agency 4,2014,Part-Time,Male, 15 
Justice,Justice Agency 5,2014,Part-Time,Male, 5 
Justice,Justice Agency 6,2014,Part-Time,Male, 21 
Justice,Justice Agency 7,2014,Part-Time,Male, 9 
Justice,Justice Agency 8,2014,Part-Time,Male, 6 
Justice,Justice Agency 9,2014,Part-Time,Male, 109 
Planning & Environment,Planning & Environment Agency 1,2014,Part-Time,Male, 17 
Planning & Environment,Planning & Environment Agency 2,2014,Part-Time,Male, 22 
Planning & Environment,Planning & Environment Agency 3,2014,Part-Time,Male, 11 
Planning & Environment,Planning & Environment Agency 4,2014,Part-Time,Male, 6 
Planning & Environment,Planning & Environment Agency 5,2014,Part-Time,Male, 140 
Planning & Environment,Planning & Environment Agency 6,2014,Part-Time,Male, 10 
Planning & Environment,Planning & Environment Agency 7,2014,Part-Time,Male, 69 
Planning & Environment,Planning & Environment Agency 8,2014,Part-Time,Male, 19 
Premier & Cabinet,Premier & Cabinet Agency 1,2014,Part-Time,Male, 5 
Premier & Cabinet,Premier & Cabinet Agency 10,2014,Part-Time,Male, 6 
Premier & Cabinet,Premier & Cabinet Agency 11,2014,Part-Time,Male, 6 
Premier & Cabinet,Premier & Cabinet Agency 2,2014,Part-Time,Male, 6 
Premier & Cabinet,Premier & Cabinet Agency 3,2014,Part-Time,Male, 5 
Premier & Cabinet,Premier & Cabinet Agency 4,2014,Part-Time,Male, 6 
Premier & Cabinet,Premier & Cabinet Agency 5,2014,Part-Time,Male, 10 
Premier & Cabinet,Premier & Cabinet Agency 6,2014,Part-Time,Male, 6 
Premier & Cabinet,Premier & Cabinet Agency 7,2014,Part-Time,Male, 5 
Premier & Cabinet,Premier & Cabinet Agency 8,2014,Part-Time,Male, 6 
Premier & Cabinet,Premier & Cabinet Agency 9,2014,Part-Time,Male, 6 
Transport,Transport Agency 1,2014,Part-Time,Male, 52 
Transport,Transport Agency 2,2014,Part-Time,Male, 6 
Transport,Transport Agency 3,2014,Part-Time,Male, 615 
Transport,Transport Agency 4,2014,Part-Time,Male, 392 
Transport,Transport Agency 5,2014,Part-Time,Male, 117 
Transport,Transport Agency 6,2014,Part-Time,Male, 16 
Treasury,Treasury Agency 1,2014,Part-Time,Male, 6 
Treasury,Treasury Agency 2,2014,Part-Time,Male, 5 
Treasury,Treasury Agency 3,2014,Part-Time,Male, 6 
Education,Education Agency 1,2015,Full-Time,Female, 176 
Education,Education Agency 2,2015,Full-Time,Female," 1,767 "
Education,Education Agency 3,2015,Full-Time,Female, 40 
Education,Education Agency 4,2015,Full-Time,Female," 39,222 "
Family & Community Services,Family & Community Services Agency 1,2015,Full-Time,Female," 9,662 "
Family & Community Services,Family & Community Services Agency 2,2015,Full-Time,Female, 44 
Family & Community Services,Family & Community Services Agency 3,2015,Full-Time,Female, 83 
"Finance, Services & Innovation","Finance, Services & Innovation Agency 1",2015,Full-Time,Female," 3,245 "
"Finance, Services & Innovation","Finance, Services & Innovation Agency 2",2015,Full-Time,Female, 602 
Health,Health Agency 1,2015,Full-Time,Female, 88 
Health,Health Agency 10,2015,Full-Time,Female, 58 
Health,Health Agency 11,2015,Full-Time,Female, 94 
Health,Health Agency 12,2015,Full-Time,Female, 24 
Health,Health Agency 13,2015,Full-Time,Female," 2,297 "
Health,Health Agency 14,2015,Full-Time,Female, 85 
Health,Health Agency 15,2015,Full-Time,Female, 80 
Health,Health Agency 16,2015,Full-Time,Female," 2,941 "
Health,Health Agency 17,2015,Full-Time,Female," 6,104 "
Health,Health Agency 18,2015,Full-Time,Female," 2,812 "
Health,Health Agency 19,2015,Full-Time,Female, 748 
Health,Health Agency 2,2015,Full-Time,Female, 297 
Health,Health Agency 20,2015,Full-Time,Female, 15 
Health,Health Agency 21,2015,Full-Time,Female," 1,548 "
Health,Health Agency 22,2015,Full-Time,Female, 503 
Health,Health Agency 23,2015,Full-Time,Female," 1,556 "
Health,Health Agency 24,2015,Full-Time,Female," 2,485 "
Health,Health Agency 25,2015,Full-Time,Female," 1,649 "
Health,Health Agency 26,2015,Full-Time,Female," 5,175 "
Health,Health Agency 27,2015,Full-Time,Female," 6,202 "
Health,Health Agency 28,2015,Full-Time,Female," 6,250 "
Health,Health Agency 29,2015,Full-Time,Female, 955 
Health,Health Agency 3,2015,Full-Time,Female," 1,693 "
Health,Health Agency 30,2015,Full-Time,Female," 2,876 "
Health,Health Agency 31,2015,Full-Time,Female," 5,845 "
Health,Health Agency 32,2015,Full-Time,Female," 2,737 "
Health,Health Agency 33,2015,Full-Time,Female," 6,434 "
Health,Health Agency 4,2015,Full-Time,Female, 22 
Health,Health Agency 5,2015,Full-Time,Female, 136 
Health,Health Agency 6,2015,Full-Time,Female," 2,687 "
Health,Health Agency 7,2015,Full-Time,Female, 60 
Health,Health Agency 8,2015,Full-Time,Female, 174 
Health,Health Agency 9,2015,Full-Time,Female, 418 
Industry,Industry Agency 1,2015,Full-Time,Female," 1,840 "
Industry,Industry Agency 2,2015,Full-Time,Female, 81 
Industry,Industry Agency 3,2015,Full-Time,Female, 86 
Industry,Industry Agency 4,2015,Full-Time,Female, 29 
Industry,Industry Agency 5,2015,Full-Time,Female, 288 
Industry,Industry Agency 6,2015,Full-Time,Female, 33 
Industry,Industry Agency 7,2015,Full-Time,Female," 4,836 "
Industry,Industry Agency 8,2015,Full-Time,Female, 149 
Justice,Justice Agency 1,2015,Full-Time,Female, 86 
Justice,Justice Agency 10,2015,Full-Time,Female, 381 
Justice,Justice Agency 11,2015,Full-Time,Female, 264 
Justice,Justice Agency 12,2015,Full-Time,Female, 158 
Justice,Justice Agency 13,2015,Full-Time,Female, 37 
Justice,Justice Agency 14,2015,Full-Time,Female, 94 
Justice,Justice Agency 2,2015,Full-Time,Female, 226 
Justice,Justice Agency 3,2015,Full-Time,Female," 5,672 "
Justice,Justice Agency 4,2015,Full-Time,Female, 403 
Justice,Justice Agency 5,2015,Full-Time,Female, 18 
Justice,Justice Agency 6,2015,Full-Time,Female, 619 
Justice,Justice Agency 7,2015,Full-Time,Female, 195 
Justice,Justice Agency 8,2015,Full-Time,Female, 65 
Justice,Justice Agency 9,2015,Full-Time,Female," 6,087 "
Planning & Environment,Planning & Environment Agency 1,2015,Full-Time,Female, 107 
Planning & Environment,Planning & Environment Agency 2,2015,Full-Time,Female, 270 
Planning & Environment,Planning & Environment Agency 3,2015,Full-Time,Female, 207 
Planning & Environment,Planning & Environment Agency 4,2015,Full-Time,Female, 95 
Planning & Environment,Planning & Environment Agency 5,2015,Full-Time,Female," 1,353 "
Planning & Environment,Planning & Environment Agency 6,2015,Full-Time,Female, 44 
Planning & Environment,Planning & Environment Agency 7,2015,Full-Time,Female, 169 
Planning & Environment,Planning & Environment Agency 8,2015,Full-Time,Female, 714 
Premier & Cabinet,Premier & Cabinet Agency 1,2015,Full-Time,Female, 15 
Premier & Cabinet,Premier & Cabinet Agency 10,2015,Full-Time,Female, 29 
Premier & Cabinet,Premier & Cabinet Agency 11,2015,Full-Time,Female, 65 
Premier & Cabinet,Premier & Cabinet Agency 2,2015,Full-Time,Female, 271 
Premier & Cabinet,Premier & Cabinet Agency 3,2015,Full-Time,Female, 85 
